Type , Transform Name                   , F1    , Precision, Recall, Accuracy, Rouge-1 F1, Rouge-2 F1, Rouge-L F1
(BSE), transforms.All                   ,  0.612,     0.671,  0.563,    0.312,      0.605,      0.313,      0.571
(TRN), transforms.All                   ,  0.264,     0.304,  0.233,    0.080,      0.251,      0.072,      0.230
(REL), transforms.All                   , -0.349,    -0.366, -0.330,   -0.232,     -0.354,     -0.241,     -0.341
(TRN), transforms.Identity              ,  0.612,     0.671,  0.563,    0.312,      0.605,      0.312,      0.570
(BSE), transforms.InsertPrintStatements ,  0.612,     0.670,  0.564,    0.312,      0.605,      0.312,      0.572
(TRN), transforms.InsertPrintStatements ,  0.339,     0.409,  0.290,    0.124,      0.327,      0.110,      0.301
(REL), transforms.InsertPrintStatements , -0.273,    -0.261, -0.274,   -0.188,     -0.278,     -0.203,     -0.271
(BSE), transforms.RenameFields          ,  0.619,     0.677,  0.569,    0.327,      0.609,      0.329,      0.575
(TRN), transforms.RenameFields          ,  0.429,     0.431,  0.427,    0.185,      0.442,      0.177,      0.413
(REL), transforms.RenameFields          , -0.190,    -0.246, -0.143,   -0.142,     -0.167,     -0.152,     -0.162
(BSE), transforms.RenameLocalVariables  ,  0.527,     0.595,  0.474,    0.204,      0.521,      0.220,      0.486
(TRN), transforms.RenameLocalVariables  ,  0.364,     0.376,  0.353,    0.129,      0.378,      0.127,      0.352
(REL), transforms.RenameLocalVariables  , -0.163,    -0.219, -0.121,   -0.076,     -0.143,     -0.093,     -0.134
(BSE), transforms.RenameParameters      ,  0.599,     0.640,  0.563,    0.329,      0.592,      0.291,      0.561
(TRN), transforms.RenameParameters      ,  0.384,     0.367,  0.402,    0.162,      0.390,      0.161,      0.364
(REL), transforms.RenameParameters      , -0.215,    -0.273, -0.160,   -0.166,     -0.202,     -0.130,     -0.197
(BSE), transforms.ReplaceTrueFalse      ,  0.521,     0.609,  0.454,    0.225,      0.524,      0.218,      0.486
(TRN), transforms.ReplaceTrueFalse      ,  0.511,     0.603,  0.444,    0.213,      0.513,      0.209,      0.476
(REL), transforms.ReplaceTrueFalse      , -0.009,    -0.007, -0.010,   -0.011,     -0.011,     -0.009,     -0.011
(BSE), transforms.ShuffleLocalVariables ,  0.498,     0.570,  0.441,    0.162,      0.490,      0.185,      0.453
(TRN), transforms.ShuffleLocalVariables ,  0.485,     0.555,  0.431,    0.155,      0.478,      0.177,      0.442
(REL), transforms.ShuffleLocalVariables , -0.013,    -0.015, -0.011,   -0.007,     -0.012,     -0.008,     -0.011
(BSE), transforms.ShuffleParameters     ,  0.539,     0.588,  0.498,    0.271,      0.533,      0.243,      0.503
(TRN), transforms.ShuffleParameters     ,  0.535,     0.582,  0.494,    0.268,      0.528,      0.241,      0.498
(REL), transforms.ShuffleParameters     , -0.005,    -0.006, -0.004,   -0.003,     -0.005,     -0.002,     -0.005
